name,l_deg,b_deg,radius_deg
4FGL J0018.8+5112 ,117.73976542470383,-11.334912560613791,0.4
4FGL J0018.8+2611 ,113.88300360660455,-36.1093556987444,0.4
4FGL J0019.2-5640 ,311.75084273666084,-59.89099148561326,0.4
4FGL J0019.3-8152 ,304.3143762879887,-35.16209498168489,0.4
4FGL J0019.6+7327 ,120.63282996933859,10.726480445552,0.4
4FGL J0019.6+2022 ,112.90083089852577,-41.87583509866947,0.4
4FGL J0020.3+6919 ,120.17927920909109,6.626676989305124,0.4
4FGL J0021.0+0322 ,108.23705817583111,-58.62307162593554,0.4
4FGL J0021.5-2221 ,66.40716062063362,-81.70556774025889,0.4
4FGL J0021.5-2552 ,41.92613672113128,-83.19967579001795,0.4
4FGL J0021.6-0855 ,100.40254014324212,-70.47483297143876,0.4
4FGL J0021.7+4533 ,117.50460924326289,-16.996021698218406,0.4
4FGL J0021.9-5140 ,313.7011467495826,-64.83540071717907,0.4
4FGL J0022.0+0006 ,107.20704972243445,-61.8581685917931,0.4
4FGL J0022.0-5921 ,309.86963385480703,-57.38113600095837,0.4
4FGL J0022.1-1854 ,82.08268312642326,-79.3743484721921,0.4
4FGL J0022.5+0608 ,110.01213060421719,-56.01110743260795,0.4
4FGL J0023.2+8412 ,122.17088341367034,21.381534919671818,0.4
4FGL J0023.4+0920 ,111.42020278616711,-52.89653871410025,0.4
4FGL J0023.6-4209 ,321.84989760839534,-73.93347193608341,0.4
4FGL J0023.7-6820 ,306.7893244426751,-48.58217063424759,0.4
4FGL J0023.7+4457 ,117.80447822126104,-17.645320944106242,0.4
4FGL J0023.9+1603 ,113.34498300892625,-46.295123038363684,0.4
4FGL J0024.0-7204 ,305.90195965128135,-44.89108223901916,0.4
4FGL J0024.1+2402 ,114.97466790223136,-38.413219545564566,0.4
4FGL J0024.1+7909 ,121.59989741341893,16.355464298281934,0.4
4FGL J0024.4+4647 ,118.14277272087101,-15.823960410534063,0.4
4FGL J0024.5-0810 ,103.1197981346949,-70.01159727751114,0.4
4FGL J0024.7+0349 ,110.17762008635064,-58.37821044282012,0.4
4FGL J0025.0-2320 ,63.93311901201482,-82.93737107852472,0.4
4FGL J0025.2-2231 ,69.19586969737868,-82.48450961395737,0.4
4FGL J0025.3+6408 ,120.09361716267676,1.4218551014315204,0.4
4FGL J0025.4-4838 ,314.3905651573147,-67.90782305715511,0.4
4FGL J0025.5-5936 ,308.9877810983792,-57.217841584815794,0.4
4FGL J0025.7-4801 ,314.7238210943173,-68.51652374301032,0.4
4FGL J0026.1-0732 ,104.76162148699929,-69.51759690212386,0.4
4FGL J0026.2+3926 ,117.64665956259847,-23.170577943965775,0.4
4FGL J0026.6-4600 ,315.91985896856175,-70.48142017619779,0.4
4FGL J0027.0-1134 ,101.5141974549553,-73.4218782833308,0.4
4FGL J0028.1+7505 ,121.40365033655686,12.293511698573985,0.4
4FGL J0028.5+2001 ,115.61436140027212,-42.528671150760424,0.4
4FGL J0028.8-0112 ,110.1993222182904,-63.51465312710879,0.4
4FGL J0028.9+3553 ,117.82135130967262,-26.757603799763658,0.4
4FGL J0029.0-7044 ,305.60474503055053,-46.27024738074365,0.4
4FGL J0029.4+2051 ,116.05021983948187,-41.71177083326159,0.4
4FGL J0030.2+0001 ,111.43036997158345,-62.363869086777584,0.4
4FGL J0030.2-5149 ,310.69211757027483,-64.97544441491175,0.4
4FGL J0030.2-1647 ,96.46628692542276,-78.56577579125998,0.4
4FGL J0030.3-4224 ,317.2676801628258,-74.12444729271232,0.4
4FGL J0030.4+0451 ,113.13405493216062,-57.612597163600626,0.4
4FGL J0030.6-0212 ,110.74333578156477,-64.57943545350295,0.4
4FGL J0030.6+0539 ,113.45348721477404,-56.82652322997407,0.4
4FGL J0030.9-3618 ,327.0372160307763,-79.83805699255711,0.4
4FGL J0031.0-2327 ,70.31832311922206,-84.10567801794386,0.4
4FGL J0031.3+0726 ,114.19592890665574,-55.085843292912344,0.4
4FGL J0031.5-4025 ,318.8490248264829,-76.08667415993239,0.4
4FGL J0031.5-5648 ,308.38339804178753,-60.11082523377359,0.4
4FGL J0032.3-5522 ,308.63895157510103,-61.5490106604445,0.4
4FGL J0032.3-5539 ,308.5202808459109,-61.256877227218226,0.4
4FGL J0032.4-2849 ,9.84532139081408,-85.47483148182214,0.4
4FGL J0032.5-4724 ,312.01586403741607,-69.39068939636014,0.4
4FGL J0033.3-2040 ,89.42054944823744,-82.33560001358488,0.4
4FGL J0033.5-1921 ,94.18599416607498,-81.21708801399453,0.4
4FGL J0033.9+3858 ,119.21490997024127,-23.77377266370248,0.4
4FGL J0034.0-4116 ,316.0005660089471,-75.41339874610182,0.4
4FGL J0034.3-0534 ,111.50371827128991,-68.0734475038955,0.4
4FGL J0034.6+6438 ,121.13443800910561,1.8261662592798815,0.4
4FGL J0035.0-5728 ,307.28630848863276,-59.51772880556827,0.4
4FGL J0035.2+1514 ,117.1525839604826,-47.44950459259355,0.4
4FGL J0035.2-1739 ,100.58411144814762,-79.82519345311893,0.4
4FGL J0035.8-0837 ,110.92032613407495,-71.13926967841282,0.4
4FGL J0035.8+6131 ,121.07729013500584,-1.2922869788228488,0.4
4FGL J0035.9+5950 ,120.9820557871532,-2.979619723152521,0.4
4FGL J0036.8+1431 ,117.63760205749918,-48.19188343267088,0.4
4FGL J0036.9+1832 ,118.13542675841984,-44.19424752680689,0.4
4FGL J0037.2-2653 ,36.38999584318607,-86.8325877568793,0.4
4FGL J0037.6+3653 ,119.8609655488126,-25.89292690816236,0.4
4FGL J0037.8+1239 ,117.77324412424446,-50.08317764089141,0.4
4FGL J0037.9+2612 ,119.15833684028472,-36.57174855778209,0.4
4FGL J0038.1+0012 ,115.73305887060525,-62.474177372430496,0.4
4FGL J0038.2-2459 ,67.94323259174264,-86.3471144398605,0.4
4FGL J0038.7-0204 ,115.48634420344814,-64.76050619333668,0.4
4FGL J0039.0-0946 ,112.76267321806034,-72.40896569745202,0.4
4FGL J0039.1-2219 ,92.03165674453518,-84.44379915828124,0.4
4FGL J0039.1+6257 ,121.5353174586347,0.12189394145425342,0.4
4FGL J0039.1+4330 ,120.58093096657672,-19.303667462240536,0.4
4FGL J0039.7+4203 ,120.61540477052507,-20.753934190622083,0.4
4FGL J0040.2-2725 ,25.41386618132456,-87.4954788772262,0.4
4FGL J0040.3+4050 ,120.67978748714218,-21.98725404571388,0.4
4FGL J0040.4-2340 ,86.55483048050529,-85.73833914109822,0.4
4FGL J0040.7-7157 ,304.10224743523895,-45.13829880205146,0.4
4FGL J0040.9+3203 ,120.34745751151303,-30.766248632111523,0.4
4FGL J0041.3-0048 ,117.24854531357468,-63.56253809926878,0.4
4FGL J0041.3+6052 ,121.70681747022017,-1.9694987434901987,0.4
4FGL J0041.4+3800 ,120.77073482744092,-24.820253855465907,0.4
4FGL J0041.7-1607 ,110.90762740017769,-78.76599232416221,0.4
4FGL J0041.9-4702 ,307.66773248073787,-69.99497937825895,0.4
4FGL J0042.0+3640 ,120.8283400394263,-26.16088015553978,0.4
4FGL J0042.2+2319 ,120.19307099950389,-39.495687688551,0.4
4FGL J0042.3+3509 ,120.83584796767587,-27.68218601352212,0.4
4FGL J0043.2+4114 ,121.28495712041625,-21.604193649665,0.4
4FGL J0043.5-0442 ,117.76342981541094,-67.49281758992052,0.4
4FGL J0043.6+2223 ,120.56236229788583,-40.449459186258316,0.4
4FGL J0043.7-1116 ,116.02459040774028,-74.05025866922468,0.4
4FGL J0043.8+3425 ,121.161653247652,-28.414192776541416,0.4
4FGL J0044.2-8424 ,303.13927119440143,-32.723768380608696,0.4
4FGL J0044.8+6802 ,122.31592998130917,5.174300184421937,0.4
4FGL J0044.9+4553 ,121.74708169983617,-16.96416125051589,0.4
4FGL J0045.1-3706 ,310.0949718644974,-79.93448699180976,0.4
4FGL J0045.3+2128 ,121.0466620781972,-41.38269094234474,0.4
4FGL J0045.7+1217 ,120.7346086563775,-50.555366839339456,0.4
4FGL J0045.8-1324 ,117.25755411105307,-76.21324229865661,0.4
4FGL J0045.9-2021 ,112.1175310716982,-83.12149900588986,0.4
4FGL J0046.7-7048 ,303.4927667747057,-46.30951892994808,0.4
4FGL J0046.9+0705 ,120.95768835614753,-55.76218603066708,0.4
4FGL J0047.0+5657 ,122.32572853748763,-5.906444240434947,0.4
4FGL J0047.1-6203 ,303.81792176424966,-55.068807662870064,0.4
